Title	Authors	Pdf	Presentation	Volume_Name	Notes
Preface	Shoichi Yokoyama	http://www.mt-archive.info/10/MTS-2011-Yokoyama-1.pdf			Preface
Machine Translation Project and Activities in EPO “The patent case”	Mr. Bertrand Le Chapelain	http://www.mt-archive.info/10/MTS-2011-LeChapelain.pdf			
Expanding the Applications of MT in Patent Translation	Dr. Hongfei Jiang	http://www.mt-archive.info/10/MTS-2011-Jiang-2.pdf			
Future Plans of Machine Translation System in the JPO	Mr. Eiichi Yamamoto	http://www.mt-archive.info/10/MTS-2011-Yamamoto.pdf			
Feedback Selecting of Manually Acquired Rules Using Automatic Evaluation	Xianhua Li and Yajuan Lü and Yao Meng and Qun Liu and Hao Yu	http://www.mt-archive.info/10/MTS-2011-Li-2.pdf			
Investigation for Translation Disambiguation of Verbs in Patent Sentences using Word Grouping	Shoichi Yokoyama and Yuichi Takano	http://www.mt-archive.info/10/MTS-2011-Yokoyama-2.pdf			
Functional Approach for Patent Translation	Hideto Ikeda and Nguyen Thanh Hung and Ze Zhong Li	http://www.mt-archive.info/10/MTS-2011-Ikeda.pdf			
Patent translation within the MOLTO project	Cristina España-Bonet and Ramona Enache and Adam Slaski and Aarne Ranta and Lluís Màrquez and Meritxell Gonzàlez	http://www.mt-archive.info/10/MTS-2011-Espana-Bonet-2.pdf			
Building a Statistical Machine Translation System for Translating Patent Documents	Jeff Ma and Spyros Matsoukas	http://www.mt-archive.info/10/MTS-2011-Ma-4.pdf			
Exploiting Multi-Features for Word Alignment in Patent MT	Li Zezhong and Hideto Ikeda and Nguyen Thanh Hung	http://www.mt-archive.info/10/MTS-2011-Zezhong.pdf			
