Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Keynote Speech	M. Nagao	http://www.mt-archive.info/70/IFTT-1989-Nagao.pdf				
A Japanese View of Machine Translation in the light of the Considerations and Recommendations Reported by ALPAC, U. S. A		http://www.mt-archive.info/70/JEIDA-1989.pdf				
MT VAN	T. Tanaka	http://www.mt-archive.info/70/IFTT-1989-Tanaka-2.pdf				
Translation Support	A. Melby	http://www.mt-archive.info/70/IFTT-1989-Melby.pdf				
MT Utilization of PAHO	M. Vasconcellos PAHO	http://www.mt-archive.info/70/IFTT-1989-Vasconcellos.pdf				
MT Utilization of EC	I.M.Pigott	http://www.mt-archive.info/70/IFTT-1989-Pigott.pdf				
MT Utilization	V. Lawson	http://www.mt-archive.info/70/IFTT-1989-Lawson.pdf				
Translation Support Functions (Pre-edit, Post-edit	N. Yamasaki	http://www.mt-archive.info/70/IFTT-1989-Yamasaki.pdf				
Machine Translation Evaluation & Text Examples	S. Ishizaki ETL	http://www.mt-archive.info/70/IFTT-1989-Ishizaki.pdf				
Control Language	H. Uchida Fujitsu Lab.	http://www.mt-archive.info/70/IFTT-1989-Uchida.pdf				
Translator's Workbench	S. Amano	http://www.mt-archive.info/70/IFTT-1989-Amano.pdf				
Contribution to panel discussion: “expectations for MT”	V. Lawson	http://www.mt-archive.info/70/IFTT-1989-Lawson-2.pdf				
Contribution to panel discussion: “expectations for MT”	L Rolling	http://www.mt-archive.info/70/IFTT-1989-Rolling.pdf				
Contribution to panel discussion: “expectations for MT”	Ming Tsui	http://www.mt-archive.info/70/IFTT-1989-Tsui.pdf				
Contribution to panel discussion: “expectations for MT”	A. Uehara	http://www.mt-archive.info/70/IFTT-1989-Uehara.pdf				
Contribution to panel discussion: "Toward More Advanced MT"	Y. Wilks	http://www.mt-archive.info/70/IFTT-1989-Wilks.pdf				
Contribution to panel discussion: "Toward More Advanced MT"	M. King	http://www.mt-archive.info/70/IFTT-1989-King.pdf				
Contribution to panel discussion: "Toward More Advanced MT"	H. Tanaka	http://www.mt-archive.info/70/IFTT-1989-Tanaka-1.pdf				
Contribution to panel discussion: "Toward More Advanced MT"	T. Yokoi	http://www.mt-archive.info/70/IFTT-1989-Yokoi.pdf				
Contribution to panel discussion: "Toward More Advanced MT"	J. Tsujii	http://www.mt-archive.info/70/IFTT-1989-Tsujii.pdf				
"Toward More Advanced MT"						
