Title	Authors	Pdf
Machine Translation Development at the University of Washington	Erwin Reifler	1956.preconf.p3.3.pdf
Mechanical Translation Work at the University of Michigan	A. Koutsoudas and R. Machol	1956.preconf.p4.4.pdf
Organisation and Method in Mechanical Translation Work	L. E. Dostert	1956.preconf.p5.5.pdf
Report on Research	Cambridge Language Research Unit	1956.preconf.p6.7.pdf
Stochastic Methods of Mechanical Translation	Gilbert W. King	1956.preconf.p8.9.pdf
Contextual Analysis in Word-for-word MT	Kenneth E. Harper	1956.preconf.p10.11.pdf
On the Problem of Mechanical Translation	D. Panov	1956.preconf.p12.13.pdf
Mechanical Translation Research at MIT	Victor H. Yngve.	1956.preconf.p14.15.pdf
Mechanical Translation and the Problem of Multiple Meaning	A. Koutsoudas and R. Korfhage	1956.preconf.p16.21.pdf
Mechanical Translation of French	L. Brandwood	1956.preconf.p22.31.pdf
Bibliography		1956.preconf.p33.36.pdf
