Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
FOREWORD		http://www.mt-archive.info/50/UCLA-1960-foreword.pdf			ii	
WELCOME	George W. Brown	http://www.mt-archive.info/50/UCLA-1960-welcome.pdf			x	
ORIENTATION	H. P. Edmundson	http://www.mt-archive.info/50/UCLA-1960-Edmundson-1.pdf			xi	
SOVIET RESEARCH IN MACHINE TRANSLATION	Kenneth Harper	http://www.mt-archive.info/50/UCLA-1960-Harper-1.pdf			2	
LINGUISTIC RESEARCH AT THE RAND CORPORATION	David G. Hays	http://www.mt-archive.info/50/UCLA-1960-Hays-1.pdf			13	
RESEARCH IN MACHINE TRANSLATION AT RAMO-WOOLDRIDGE	Jules Mersel	http://www.mt-archive.info/50/UCLA-1960-Mersel.pdf			26	
THE NATIONAL BUREAU OF STANDARDS' METHOD OF SYNTACTIC INTEGRATION	Ida Rhodes	http://www.mt-archive.info/50/UCLA-1960-Rhodes.pdf			39	
QUESTIONS AND DISCUSSION		http://www.mt-archive.info/50/UCLA-1960-discussion-1.pdf			45	
SUMMATION BY CHAIRMAN	Leon Dostert	http://www.mt-archive.info/50/UCLA-1960-Dostert.pdf			49	
FUNCTIONS REQUIRED OF A TRANSLATION SYSTEM	Gilbert King	http://www.mt-archive.info/50/UCLA-1960-King.pdf			53	
CURRENT RESEARCH AT GEORGETOWN UNIVERSITY	Michael Zarechnak and A. F. R. Brown	http://www.mt-archive.info/50/UCLA-1960-Zarechnak-1.pdf			63	
REPORT ON SOME PRINCIPLES OF THE UNIFIED TRANSFER SYSTEM	Ariadne W. Lukjanow	http://www.mt-archive.info/50/UCLA-1960-Lukjanow-1.pdf			88	
REPORT ON THE TEXAS PROJECT	Stanley N. Werbow	http://www.mt-archive.info/50/UCLA-1960-Werbow.pdf			121	
MT AT THE MASSACHUSETTS INSTITUTE OF TECHNOLOGY	Victor H. Yngve	http://www.mt-archive.info/50/UCLA-1960-Yngve-1.pdf			126	
QUESTIONS AND DISCUSSION		http://www.mt-archive.info/50/UCLA-1960-discussion-2.pdf			133	
SUMMATION BY CHAIRMAN	E.W. Cannon	http://www.mt-archive.info/50/UCLA-1960-Cannon.pdf			136	
MT RESEARCH AT THE UNIVERSITY OF CALIFORNIA	Sydney M. Lamb	http://www.mt-archive.info/50/UCLA-1960-Lamb-1.pdf			140	
CURRENT RESEARCH AT THE UNIVERSITY OF WASHINGTON	Erwin Reifler	http://www.mt-archive.info/50/UCLA-1960-Reifler-1.pdf			155	
RESEARCH IN MACHINE TRANSLATION	Harry H. Josselson	http://www.mt-archive.info/50/UCLA-1960-Josselson.pdf			160	
CURRENT RESEARCH ON AUTOMATIC TRANSLATION AT HARVARD UNIVERSITY AND PREDICTIVE SYNTACTIC ANALYSIS	Anthony G. Oettinger and Murray E. Sherry	http://www.mt-archive.info/50/UCLA-1960-Oettinger-1.pdf			173	
QUESTIONS AND DISCUSSION		http://www.mt-archive.info/50/UCLA-1960-discussion-3.pdf			183	
SUMMATION BY CHAIRMAN	Thomas A. Sebeok	http://www.mt-archive.info/50/UCLA-1960-Sebeok.pdf			193	
INTRODUCTION	H.P. Edmundson	http://www.mt-archive.info/50/UCLA-1960-methodology.pdf			197	
DISCUSSANTS	A. F. R. Brown and Anthony G. Oettinger and Vincent Giuliano and Erwin Reifler and David G. Hays and Ida Rhodes and Harry H. Josselson and Don R. Swanson and Gilbert King and Stanley N. Werbow and Sydney M. Lamb and Victor H. Yngve and Ariadne Lukjanow and Michael Zarechnak	http://www.mt-archive.info/50/UCLA-1960-methodology.pdf				
QUESTIONS AND DISCUSSION		http://www.mt-archive.info/50/UCLA-1960-discussion-4.pdf			219	
SUMMATION BY CHAIRMAN	Robert M. Hayes	http://www.mt-archive.info/50/UCLA-1960-Hayes.pdf			225	
AUTOMATIC ENGLISH INFLECTION	William D. Foust	http://www.mt-archive.info/50/UCLA-1960-Foust.pdf			229	
GERMAN SYNTAX PATTERNS	Joseph W. Marchand	http://www.mt-archive.info/50/UCLA-1960-Marchand.pdf			234	
THE USE OF GRAMMARS WITHIN THE MECHANICAL TRANSLATION ROUTINE	G.H. Matthews	http://www.mt-archive.info/50/UCLA-1960-Matthews.pdf			245	
QUESTIONS AND DISCUSSION		http://www.mt-archive.info/50/UCLA-1960-discussion-5.pdf			249	
INTRODUCTION	Kenneth Harper	http://www.mt-archive.info/50/UCLA-1960-Harper-2.pdf			256	
GROUPING AND DEPENDENCY THEORIES	David G. Hays	http://www.mt-archive.info/50/UCLA-1960-Hays-2.pdf			258	
NESTING WITHIN THE PREPOSITIONAL STRUCTURE	Michael Zarechnak	http://www.mt-archive.info/50/UCLA-1960-Zarechnak-2.pdf			267	
SYNTAX OF THE GERMAN NOUN PHRASE	Joseph R. Applegate	http://www.mt-archive.info/50/UCLA-1960-Applegate.pdf			280	
SYNTACTIC RETRIEVAL	Paul L. Garvin	http://www.mt-archive.info/50/UCLA-1960-Garvin-1.pdf			286	
QUESTIONS AND DISCUSSION	SESSION THE DICTIONARY	http://www.mt-archive.info/50/UCLA-1960-discussion-6.pdf			293	
INTRODUCTION	Don R. Swanson	http://www.mt-archive.info/50/UCLA-1960-Swanson-1.pdf			310	
THE SOLUTION OF MT LINGUISTIC PROBLEMS THROUGH LEXICOGRAPHY	Erwin Reifler	http://www.mt-archive.info/50/UCLA-1960-Reifler-2.pdf			312	
AUTOMATIC AFFIX INTERPRETATION AND RELIABILITY	Murray E. Sherry	http://www.mt-archive.info/50/UCLA-1960-Sherry.pdf			317	
GLOSSARY LOOKUP MADE EASY	Hugh Kelly and Ted Ziehe	http://www.mt-archive.info/50/UCLA-1960-Kelly-1.pdf			325	
SEGMENTATION	Sydney M. Lamb	http://www.mt-archive.info/50/UCLA-1960-Lamb-2.pdf			335	
QUESTIONS AND DISCUSSION		http://www.mt-archive.info/50/UCLA-1960-discussion-7.pdf			343	
