Title	Authors	Pdf	Presentation	Volume_Name	Notes
Necessity of introducing some information provided by transformational analysis into MT algorithms	Irena Bellert				
The use of a random access device for dictionary lookup	Robert S. Betz and Walter Hoffman	abstract-0-Hoffman.pdf			
Generative processes for Russian impersonal sentences	C. G. Borkowski and L. R. Micklesen	abstract-1-Micklesen.pdf			
Concerning the role of sub-grammars in machine translation	Joyce M. Brady and William B. Estes	abstract-2-Estes.pdf			
Word-meaning and sentence-meaning	Elinor K. Charney	abstract-3-Charney.pdf			
Translating ordinary language into symbolic logic	Jared L. Darlington	abstract-4-Darlington.pdf			
The graphic structure of word-breaking	J. L. Dolby and H. L. Resnikoff	abstract-5-Resnikoff.pdf			
Writing of Chinese recognition grammar for machine translation	Ching-yi Dougherty	abstract-6-Dougherty.pdf			
The behavior of English articles	H. P. Edmundson	abstract-7-Edmundson.pdf			
On representing syntactic structure	E. R. Gammon	abstract-8-Gammon.pdf			
La traduction automatique et l’enseignement du russe	Yves Gentilhomme	abstract-9-Gentilhomme.pdf			
Word and context association by means of linear networks	Vincent E. Giuliano	abstract-10-Giuliano.pdf			
A study of the combinatorial properties of Russian nouns	Kenneth E. Harper	abstract-11-Harper.pdf			
Connectability calculations, syntactic functions, and Russian syntax	David G. Hays	abstract-12-Hays.pdf			
Punctuation and automatic syntactic analysis	Lydia Hirschberg	abstract-13-Hirschberg.pdf			
Application of decision tables to syntactic analysis	Walter Hoffman and Amelia Janiotis and Sidney Simon	abstract-14-Simon.pdf			
Simultaneous computation of lexical and extralinguistic information measures in dialogue	Joseph Jaffe M.D	abstract-15-Jaffe.pdf			
Design of a generalized information system	Ronald W. Jonas	abstract-16-Jonas.pdf			
Some experiments performed with an automatic paraphraser	Sheldon Klein	abstract-17-Klein.pdf			
Interlingual correspondence at the syntactic level	Edward S. Klima	abstract-18-Klima.pdf			
Sentence structure diagrams	Susumu Kuno	abstract-19-Kuno.pdf			
Linguistic structure and machine translation	Sydney M. Lamb	abstract-20-Lamb.pdf			
On redundancy in artificial languages	W. P. Lehmann	abstract-21-Lehmann.pdf			
A procedure for automatic sentence structure analysis	D. Lieberman	abstract-22-Lieberman.pdf			
An algorithm for the translation of Russian inorganic-chemistry terms	L. R. Micklesen and P. H. Smith, Jr	abstract-23-Smith.pdf			
The application of table processing concepts to the Sakai translation technique	A. Opler and R. Silverstone and Y. Saleh and M. Hildebran and I. Slutzky	abstract-24-Slutzky.pdf			
Slavic languages—comparative morphosyntactic research	Milos Pacak	abstract-25-Pacak.pdf			
Types of language hierarchy	E. D. Pendergraft	abstract-26-Pendergraft.pdf			
Path economization in exhaustive left-to-right syntactic analysis	Warren J. Plath	abstract-27-Plath.pdf			
A computer representation for semantic information	Bertram Raphael	abstract-28-Raphael.pdf			
Specifications for generative grammars used in language data processing	Robert Tabory	abstract-29-Tabory.pdf			
Collecting linguistic data for the grammar of a language	Wayne Tosh	abstract-30-Tosh.pdf			
Derivational suffixes in Russian general vocabulary and in chemical nomenclature	John H. Wahlgren	abstract-31-Wahlgren.pdf			
On the order of clauses	Victor H. Yngve	abstract-32-Yngve.pdf			
