Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Making a sow's ear out of a silk purse: (mis)using online MT services as bilingual dictionaries	Federico Gaspari	http://www.mt-archive.info/05/Aslib-2007-Gaspari.pdf				
Removing the distinction between a Translation Memory, a Bilingual Dictionary and a Parallel Corpus	Vincent Vandeghinste	http://www.mt-archive.info/05/Aslib-2007-Vandeghinste.pdf				
A dynamic dictionary for discovering indirect translation equivalents	Bogdan Babych	http://www.mt-archive.info/05/Aslib-2007-Babych.pdf				
A free terminology extraction suite	Antoni Oliver and Merce Vazquez	http://www.mt-archive.info/05/Aslib-2007-Oliver.pdf				
In other words: Using paraphrases in translation	Pernilla Danielsson	http://www.mt-archive.info/05/Aslib-2007-Danielsson.pdf				
Lost in specialised translation: the corpus as an inexpensive and under-exploited aid for language service providers	Gloria Corpas Pastor	http://www.mt-archive.info/05/Aslib-2007-Corpas-Pastor.pdf				
Medical spoken language translation: What do the users really need?	Harold Somers	http://www.mt-archive.info/05/Aslib-2007-Somers.pdf				
Translation Quality Assurance Tools: current state and future approaches	Julia Makoushina	http://www.mt-archive.info/05/Aslib-2007-Makoushina.pdf				
Rapid development of RBMT systems for related languages	Jernej Vicic	http://www.mt-archive.info/05/Aslib-2007-Vicic.pdf				
Building a bilingual dictionary from movie subtitles based on inter-lingual triggers	Caroline Lavecchia, Kamel Smaili and David Langlois	http://www.mt-archive.info/05/Aslib-2007-Lavecchia.pdf				
E-learning and employability in translator training: introducing e-portfolio and personal development planning at the University of Vienna	Notburga Rothender	http://www.mt-archive.info/05/Aslib-2007-Rotheneder.pdf				
Innovation and E-learning in translator Education: a Singapore experience	Susan Xu	http://www.mt-archive.info/05/Aslib-2007-Xu.pdf				
The long way to a corporate platform for multilingual contents and translation processes: corporate translation management in practice	Michael Leifeld	http://www.mt-archive.info/05/Aslib-2007-Leifeld.pdf				
Workflow and business information management in the language industry	Dr Adriane Rinsche	http://www.mt-archive.info/05/Aslib-2007-Rinsche.pdf				
Translation Wikified: how will massive online collaboration impact the world of translation?	Alain Désilets	http://www.mt-archive.info/05/Aslib-2007-Desilets.pdf				Additional Papers in the proceedings
Mind the gap	Juliet Macan	http://www.mt-archive.info/05/Aslib-2007-Macan.pdf				Additional Papers in the proceedings
