Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Upcoming EC Calls Kimmo Rossi and European Commission and Luxembourg			http://www.mt-archive.info/10/Translingual-Europe-2010-Rossi.pdf			
Haitian Creole: Developing MT for a Low Data Language	Will Lewis		http://www.mt-archive.info/10/Translingual-Europe-2010-Lewis.pdf			
Translation Technology for Fighting World Poverty	Lori Thicke		http://www.mt-archive.info/10/Translingual-Europe-2010-Thicke.pdf			
Researches on MT and Language Information Processing of CCLIE & BIT.	Heyan Huang		http://www.mt-archive.info/10/Translingual-Europe-2010-Huang.pdf			
TAUS Data Association: News and Roadmap	Jaap van der Meer					
META-NET: Towards the Multilingual Europe Technology Alliance	Hans Uszkoreit					
EuroMatrixPlus - Evaluation, Localisation, Open Source.	Josef van Genabith		http://www.mt-archive.info/10/Translingual-Europe-2010-vanGenabith.pdf			
Community Translation, what is it, when to use it, how to manage it.	Willem Stoeller		http://www.mt-archive.info/10/Translingual-Europe-2010-Stoeller.pdf			
GlobalSight MT integration [PDF of PPT presentation,	Antione Rey		http://www.mt-archive.info/10/Translingual-Europe-2010-Rey.pdf			
LetsMT! – Towards Cloud-Based Service for MT Generation	Andrejs Vasiljevs		http://www.mt-archive.info/10/Translingual-Europe-2010-Vasiljevs-1.pdf			
Contribution to panel Small Languages: Maltese	Mike Rosner		http://www.mt-archive.info/10/Translingual-Europe-2010-Rosner.pdf			
Contribution to panel Small Languages: Latvian	Andrejs Vasiljevs		http://www.mt-archive.info/10/Translingual-Europe-2010-Vasiljevs-2.pdf			
Contribution to panel Small Languages: Dutch	Alice Dijkstra		http://www.mt-archive.info/10/Translingual-Europe-2010-Dijkstra.pdf			
Asia Online Company & Technology Overview	Kirti Vashee		http://www.mt-archive.info/10/Translingual-Europe-2010-Vashee.pdf			
Free/Open-Source Machine Translation: the Apertium Platform	Mikel Forcada		http://www.mt-archive.info/10/Translingual-Europe-2010-Forcada.pdf			
Flexible and efficient management of translation quality	Julia Epiphantseva		http://www.mt-archive.info/10/Translingual-Europe-2010-Epiphantseva.pdf			
The Evolution of the European Machine Translation Programme at the EPO.	Patrizia Biani		http://www.mt-archive.info/10/Translingual-Europe-2010-Biani.pdf			
Machine Translation at the European Commission.	Spyridon Pilos		http://www.mt-archive.info/10/Translingual-Europe-2010-Pilos.pdf			
2010: The Industrialisation of MT	Fred Hollowood		http://www.mt-archive.info/10/Translingual-Europe-2010-Hollowood.pdf			
Language Change and Linguistic Diversity – Future Challenges for MT.	Sabine Andersen-Kirchmeier		http://www.mt-archive.info/10/Translingual-Europe-2010-Kirchmeier-Andersen.pdf			
