Title	Authors	Pdf
Meaning understanding in machine translation	Hirosato Nomura	http://www.mt-archive.info/TMI-1988-Chung.pdf
Coordination: some problems and solutions for the analysis of English with an ATN	Lee Ann Schwartz	http://www.mt-archive.info/TMI-1988-Schwartz.pdf
A method of analyzing Japanese speech act types.	Kiyoshi Kogure and Hitoshi Iida and Kei Yoshimoto and Hiroyuki Maeda and Masako Kume and Susumu Kato	http://www.mt-archive.info/TMI-1988-Kogure.pdf
Lexical realization in natural language generation	Sergei Nirenburg and Rita McCardell and Eric Nyberg and Scott Huffman and Edward Kernschaft and Irene Nirenburg	http://www.mt-archive.info/TMI-1988-Nirenburg.pdf
Multi-lingual text generation and the Meaning-Text Theory	Richard Kittredge and Lidija Iordanskaja and Alain Polguère	http://www.mt-archive.info/TMI-1988-Kittredge.pdf
Relaxed' compositionality in machine translation	Doug Arnold and Steven Krauwer and Louis des Tombe and Louisa Sadler	http://www.mt-archive.info/TMI-1988-Arnold.pdf
CAT2 -- implementing a formalism for multi-lingual MT	Randall Sharp	http://www.mt-archive.info/TMI-1988-Sharp.pdf
Towards speech translation systems	Masaru Tomita	http://www.mt-archive.info/TMI-1988-Tomita-1.pdf
The Universal Parser Compiler and its application to a speech translation system	Masaru Tomita and Marion Kee and Hiroaki Saito and Teruko Mitamura and Hideto Tomabechi	http://www.mt-archive.info/TMI-1988-Tomita-2.pdf
Functional descriptions as a formalism for linguistic knowledge representation in a generation oriented approach	Miyo Otani and Nathalie Simonin	http://www.mt-archive.info/TMI-1988-Otani.pdf
Computational complexity of left-associative grammar	Roland Hausser	http://www.mt-archive.info/TMI-1988-Hausser.pdf
Reversible logic grammars for machine translation	Marc Dymetman and Pierre Isabelle	http://www.mt-archive.info/TMI-1988-Dymetman.pdf
A translation aid system using flexible text retrieval based on syntax-matching	Eiichiro Sumita and Yutaka Tsutsumi	http://www.mt-archive.info/TMI-1988-Sumita.pdf
ATLAS II: a machine translation system using conceptual structures as an interlingua	Hiroshi Uchida	http://www.mt-archive.info/TMI-1988-Uchida.pdf
Translational ambiguity rephrased	Danit Ben-Ari and Daniel M.Berry and Mori Rimon	http://www.mt-archive.info/TMI-1988-Ben-Ari.pdf
A principle-based Korean/Japanese machine translation system: NARA	Hee Sung Chung	http://www.mt-archive.info/TMI-1988-Chung.pdf
A comparative study of Japanese and English sublanguage patterns	Virginia Teller and Michiko Kosaka and Ralph Grishman	http://www.mt-archive.info/TMI-1988-Teller.pdf
Noun phrase identification in dialogue and its application	Izuru Nogaito and Hitoshi Iida	http://www.mt-archive.info/TMI-1988-Nogaito.pdf
A statistical approach to French/English translation	P.Brown and J.Cocke and S.Della Pietra and V.Della Pietra and F.Jelinek and R.Mercer and P.Roossin	http://www.mt-archive.info/TMI-1988-Brown.pdf
Methodological considerations in the METAL project	Winfield S.Bennett	http://www.mt-archive.info/TMI-1988-Bennett.pdf
Application of natural language interface to a machine translation problem	Heidi M.Johnson and Yukiko Sekine and John S.White and Gil C.Kim	http://www.mt-archive.info/TMI-1988-Zarechnak.pdf
Complex procedures for MT quality	Michael Zarechnak	http://www.mt-archive.info/TMI-1988-Zarechnak.pdf
Bernard Vauqois' contribution to the theory and practice of building MT systems: a historical perspective	Christian Boitet	http://www.mt-archive.info/TMI-1988-Boitet.pdf
(with bibliography)		http://www.mt-archive.info/TMI-1988-Boitet.pdf
